
mean_cpu,std_cpu,min_cpu,max_cpu,delta_cpu,cpu_trend,cpu_volatility,mean_memory,std_memory,memory_trend,mean_requests,request_spike_count,throughput_delta,cost_delta,unit_economics_ratio,incident_type
50,5,45,67,6,0.37,0.13,49,2,0.14,1149,0,52,4,1.35,Normal
98,13,60,95,36,2.35,2.25,64,5,0.46,1647,3,133,42,0.51,BadDeploy
63,7,51,84,10,0.79,0.35,74,8,1.47,1456,1,95,24,0.69,MemoryLeak
55,4,44,60,2,0.22,0.17,50,2,0.13,1145,0,50,6,1.34,Normal
60,8,49,82,15,0.68,0.45,72,6,1.14,1463,2,89,19,0.52,MemoryLeak
55,5,45,65,2,0.33,0.15,45,3,0.11,1180,0,58,6,1.4,Normal
72,10,48,87,17,1.41,0.93,58,4,0.5,2501,7,312,45,1.89,TrafficSpike
73,11,45,85,22,1.28,0.97,56,5,0.52,2432,5,360,42,1.59,TrafficSpike
73,10,47,92,20,1.28,1.01,56,5,0.57,2443,6,313,47,1.55,TrafficSpike
59,8,50,78,14,0.77,0.38,70,8,1.09,1402,1,98,25,0.53,MemoryLeak
65,7,50,83,14,0.62,0.32,70,6,1.13,1465,2,105,19,0.59,MemoryLeak
90,15,57,99,36,3.12,1.63,56,5,0.24,1673,4,117,48,0.52,BadDeploy
52,4,45,66,6,0.25,0.17,46,3,0.14,1218,0,45,6,1.38,Normal
84,13,54,97,31,2.38,1.99,60,6,0.39,1569,3,128,48,0.5,BadDeploy
74,9,47,85,18,1.49,1.0,59,6,0.55,2407,5,340,39,1.54,TrafficSpike
68,9,51,86,17,1.3,0.85,59,5,0.46,2426,7,326,45,1.75,TrafficSpike
54,3,44,56,4,0.36,0.13,52,3,0.2,1238,0,57,7,1.33,Normal
54,5,45,66,6,0.23,0.16,49,3,0.12,1158,0,54,6,1.37,Normal
60,7,48,75,14,0.93,0.47,73,7,1.28,1402,2,100,22,0.5,MemoryLeak
72,11,48,85,21,1.35,0.92,58,5,0.48,2383,7,339,44,1.59,TrafficSpike
53,5,44,64,6,0.34,0.17,49,4,0.16,1168,0,46,4,1.34,Normal
59,8,51,84,13,0.71,0.42,71,7,1.01,1412,1,90,19,0.56,MemoryLeak
55,4,46,56,3,0.13,0.1,48,3,0.11,1227,0,54,4,1.37,Normal
50,4,45,57,6,0.24,0.12,49,3,0.17,1131,0,52,7,1.35,Normal
51,4,46,68,2,0.26,0.2,52,3,0.15,1179,0,45,4,1.45,Normal
52,4,46,60,3,0.21,0.11,48,2,0.09,1211,0,40,5,1.46,Normal
53,3,44,56,6,0.34,0.15,47,3,0.17,1163,0,55,4,1.44,Normal
83,13,57,100,30,2.84,2.11,58,5,0.27,1642,4,127,44,0.55,BadDeploy
55,4,45,67,3,0.18,0.1,52,4,0.09,1278,0,46,5,1.41,Normal
96,15,60,96,29,2.64,1.8,60,6,0.31,1500,4,137,42,0.55,BadDeploy
54,4,46,59,4,0.32,0.17,51,2,0.13,1227,0,59,6,1.36,Normal
85,13,60,100,29,2.05,2.24,58,4,0.26,1624,2,111,31,0.51,BadDeploy
97,17,56,95,33,2.26,2.05,56,4,0.4,1520,3,145,31,0.47,BadDeploy
73,11,45,89,21,1.22,0.82,56,4,0.59,2565,5,302,41,1.71,TrafficSpike
51,5,46,59,6,0.29,0.12,51,4,0.07,1263,0,54,7,1.48,Normal
51,5,45,64,4,0.3,0.15,52,3,0.19,1240,0,51,7,1.45,Normal
73,11,48,88,20,1.51,1.08,56,5,0.59,2529,6,290,38,1.89,TrafficSpike
54,3,45,56,4,0.4,0.12,50,2,0.17,1276,0,57,5,1.32,Normal
73,9,47,89,19,1.56,0.87,56,5,0.42,2504,7,317,39,1.79,TrafficSpike
70,10,46,89,17,1.49,0.97,54,4,0.58,2471,6,345,44,1.87,TrafficSpike
51,5,46,65,2,0.29,0.16,45,3,0.13,1181,0,50,5,1.33,Normal
96,17,60,95,31,2.52,2.11,58,4,0.3,1621,4,108,47,0.48,BadDeploy
53,5,45,68,3,0.33,0.15,48,3,0.11,1246,0,57,5,1.35,Normal
64,7,52,76,10,0.87,0.38,73,6,1.19,1406,2,90,23,0.62,MemoryLeak
70,10,45,88,18,1.47,0.85,59,4,0.42,2327,5,308,42,1.51,TrafficSpike
52,4,45,56,4,0.16,0.15,48,4,0.13,1166,0,59,5,1.44,Normal
53,5,46,64,2,0.18,0.11,48,4,0.14,1113,0,60,4,1.31,Normal
63,6,48,79,15,0.75,0.5,76,8,1.06,1480,2,104,19,0.54,MemoryLeak
75,11,45,85,18,1.57,0.89,57,5,0.55,2309,6,335,43,1.75,TrafficSpike
62,6,50,81,10,0.98,0.49,71,6,1.21,1500,1,87,24,0.6,MemoryLeak
64,6,52,77,13,0.99,0.48,73,7,1.33,1452,1,103,21,0.67,MemoryLeak
60,7,49,85,14,0.97,0.36,76,8,1.57,1430,1,95,20,0.65,MemoryLeak
95,16,56,98,39,3.12,2.2,60,4,0.43,1527,2,116,30,0.55,BadDeploy
61,8,49,78,15,0.61,0.32,80,7,1.08,1520,2,90,24,0.6,MemoryLeak
51,3,44,56,5,0.33,0.1,49,3,0.08,1271,0,46,4,1.34,Normal
75,11,50,92,18,1.37,1.03,58,6,0.56,2668,6,340,47,1.88,TrafficSpike
54,3,45,63,2,0.36,0.12,51,4,0.06,1199,0,46,6,1.39,Normal
62,7,49,81,12,0.85,0.31,76,6,1.28,1515,1,101,19,0.54,MemoryLeak
53,4,45,63,2,0.15,0.16,48,3,0.06,1182,0,43,4,1.32,Normal
73,9,51,87,20,1.42,0.81,55,5,0.51,2637,5,310,40,1.57,TrafficSpike
53,4,45,67,5,0.19,0.12,47,2,0.05,1295,0,40,7,1.4,Normal
68,11,52,88,18,1.44,0.94,57,5,0.42,2607,5,321,46,1.61,TrafficSpike
58,6,49,75,15,0.74,0.33,68,8,1.35,1476,2,87,18,0.52,MemoryLeak
51,5,45,65,6,0.27,0.16,52,4,0.14,1109,0,49,6,1.37,Normal
84,16,60,95,32,2.56,1.51,60,5,0.36,1634,2,118,49,0.41,BadDeploy
53,5,46,65,4,0.23,0.18,49,4,0.14,1259,0,44,7,1.4,Normal
75,9,48,89,18,1.2,0.81,59,4,0.55,2406,7,343,44,1.52,TrafficSpike
88,13,55,100,32,2.31,1.46,60,6,0.36,1696,2,112,51,0.47,BadDeploy
82,14,55,97,33,3.11,1.83,63,4,0.39,1623,2,145,44,0.58,BadDeploy
96,16,52,99,32,2.68,2.01,64,6,0.21,1647,4,126,41,0.41,BadDeploy
52,3,45,62,6,0.35,0.16,51,2,0.14,1300,0,50,4,1.35,Normal
53,3,45,63,4,0.16,0.13,46,3,0.17,1299,0,42,7,1.4,Normal
70,9,50,92,22,1.55,0.89,56,4,0.55,2350,7,306,41,1.79,TrafficSpike
74,11,46,85,19,1.57,1.01,58,4,0.47,2323,5,356,48,1.8,TrafficSpike
54,4,46,59,4,0.16,0.13,50,3,0.15,1169,0,45,6,1.32,Normal
51,5,45,64,4,0.18,0.19,49,4,0.09,1118,0,59,6,1.41,Normal
51,3,45,66,2,0.13,0.11,51,3,0.08,1252,0,59,6,1.36,Normal
59,7,52,77,10,0.93,0.48,75,6,1.27,1519,2,92,21,0.53,MemoryLeak
63,7,49,85,12,0.92,0.48,75,7,1.02,1521,1,96,25,0.59,MemoryLeak
52,4,46,65,3,0.25,0.14,46,3,0.13,1118,0,57,7,1.38,Normal
89,17,55,99,30,3.17,1.75,61,4,0.44,1651,3,132,48,0.56,BadDeploy
60,8,48,84,13,0.65,0.42,73,8,1.06,1513,1,94,24,0.51,MemoryLeak
55,5,45,61,5,0.29,0.11,48,2,0.18,1293,0,44,5,1.39,Normal
64,8,52,82,11,0.68,0.48,72,8,1.48,1477,2,96,19,0.62,MemoryLeak
74,9,49,85,19,1.56,1.09,54,6,0.51,2483,5,326,38,1.59,TrafficSpike
92,18,58,98,34,2.52,1.59,58,5,0.24,1642,3,128,43,0.43,BadDeploy
51,3,44,66,2,0.14,0.19,51,2,0.06,1264,0,54,7,1.42,Normal
74,11,52,91,19,1.29,0.93,54,6,0.5,2674,5,354,42,1.66,TrafficSpike
83,13,59,100,33,2.14,1.83,57,4,0.42,1634,3,134,46,0.42,BadDeploy
51,4,46,67,2,0.31,0.15,49,4,0.06,1187,0,55,7,1.4,Normal
73,10,50,89,19,1.27,1.01,58,6,0.46,2588,6,297,48,1.69,TrafficSpike
54,3,46,60,6,0.11,0.15,47,4,0.06,1300,0,48,5,1.42,Normal
62,6,48,84,11,0.96,0.45,78,7,1.22,1444,2,92,25,0.54,MemoryLeak
52,3,44,65,3,0.35,0.18,51,3,0.09,1212,0,46,6,1.31,Normal
59,6,49,82,13,0.79,0.4,80,8,1.14,1499,2,93,20,0.61,MemoryLeak
68,10,52,91,22,1.33,0.96,54,4,0.58,2626,6,345,47,1.87,TrafficSpike
63,7,50,76,12,0.86,0.38,80,8,1.45,1550,1,101,23,0.64,MemoryLeak
52,5,44,66,2,0.35,0.1,46,4,0.07,1214,0,47,6,1.35,Normal
50,5,44,56,6,0.3,0.18,46,4,0.19,1122,0,52,5,1.48,Normal
52,4,45,66,2,0.29,0.19,49,3,0.15,1270,0,48,5,1.46,Normal
58,7,51,80,10,0.7,0.46,70,7,1.04,1451,2,90,25,0.52,MemoryLeak
71,11,46,92,22,1.3,0.81,54,6,0.55,2697,6,292,45,1.56,TrafficSpike
50,5,45,60,3,0.31,0.19,45,4,0.16,1297,0,55,7,1.38,Normal
54,3,44,62,5,0.14,0.15,50,3,0.15,1202,0,60,4,1.37,Normal
84,16,56,100,31,2.21,1.44,62,6,0.26,1678,3,111,50,0.54,BadDeploy
69,11,52,88,18,1.21,0.81,58,4,0.5,2332,7,329,45,1.71,TrafficSpike
68,9,50,85,19,1.52,0.81,54,4,0.56,2641,7,348,48,1.85,TrafficSpike
55,5,44,57,2,0.32,0.15,45,3,0.19,1258,0,47,5,1.3,Normal
52,3,45,65,3,0.35,0.11,46,2,0.12,1257,0,42,5,1.39,Normal
92,13,60,96,33,3.0,2.11,56,6,0.25,1516,2,122,34,0.55,BadDeploy
55,4,46,58,5,0.17,0.16,47,2,0.17,1261,0,45,4,1.48,Normal
50,3,44,57,6,0.37,0.14,52,4,0.07,1136,0,56,7,1.38,Normal
54,5,44,65,3,0.32,0.16,46,4,0.17,1177,0,53,4,1.41,Normal
50,5,44,65,4,0.36,0.2,48,3,0.17,1268,0,48,4,1.34,Normal
55,4,45,58,3,0.3,0.1,50,3,0.08,1164,0,59,7,1.31,Normal
54,3,44,68,2,0.25,0.11,48,4,0.12,1248,0,53,5,1.45,Normal
89,13,57,96,29,2.28,1.77,59,5,0.47,1518,3,142,45,0.41,BadDeploy
70,9,52,87,20,1.35,0.94,55,6,0.47,2438,5,332,40,1.51,TrafficSpike
52,3,44,63,5,0.23,0.18,48,3,0.14,1263,0,58,5,1.32,Normal
71,11,52,92,19,1.21,0.93,60,4,0.45,2522,7,318,47,1.88,TrafficSpike
53,3,44,63,6,0.11,0.15,52,4,0.17,1215,0,47,4,1.41,Normal
55,5,45,59,3,0.21,0.12,46,2,0.12,1178,0,54,4,1.5,Normal
70,11,51,87,19,1.45,1.01,54,6,0.41,2653,6,357,38,1.62,TrafficSpike
61,8,48,84,12,0.89,0.31,78,7,1.53,1428,2,96,25,0.62,MemoryLeak
93,14,60,100,29,2.67,2.1,58,5,0.27,1529,4,135,48,0.57,BadDeploy
61,7,50,79,14,0.87,0.36,69,7,1.21,1524,1,100,22,0.59,MemoryLeak
84,14,59,95,29,2.47,1.56,57,4,0.25,1528,4,114,45,0.43,BadDeploy
58,7,51,85,14,0.97,0.39,74,7,1.44,1405,2,91,19,0.5,MemoryLeak
63,7,52,80,15,0.86,0.37,77,8,1.42,1540,2,99,22,0.61,MemoryLeak
60,7,49,82,12,0.99,0.45,68,6,1.21,1516,1,104,20,0.64,MemoryLeak
60,6,49,77,11,0.65,0.5,77,6,1.26,1494,1,91,18,0.63,MemoryLeak
86,15,59,99,30,2.64,1.51,56,5,0.48,1696,2,134,40,0.43,BadDeploy
73,11,49,92,19,1.59,1.03,58,6,0.43,2589,7,346,43,1.78,TrafficSpike
68,9,46,89,17,1.36,1.05,57,5,0.42,2328,7,314,47,1.71,TrafficSpike
61,6,48,83,13,0.87,0.49,76,7,1.12,1481,1,96,24,0.53,MemoryLeak
73,10,50,85,19,1.34,0.89,57,6,0.42,2672,6,343,45,1.62,TrafficSpike
74,9,46,87,18,1.32,1.1,58,5,0.41,2602,6,301,38,1.66,TrafficSpike
64,6,52,82,15,0.83,0.48,71,6,1.5,1474,2,86,22,0.67,MemoryLeak
65,8,51,78,10,0.92,0.33,72,8,1.5,1520,1,105,22,0.58,MemoryLeak
71,9,46,89,20,1.6,0.82,59,5,0.52,2589,6,323,48,1.77,TrafficSpike
52,5,46,65,2,0.35,0.12,45,2,0.1,1277,0,51,5,1.31,Normal
95,18,57,95,32,2.35,1.98,57,6,0.26,1660,2,111,49,0.55,BadDeploy
92,18,56,97,38,2.84,1.73,64,6,0.31,1536,2,113,46,0.46,BadDeploy
74,10,47,86,18,1.26,0.87,55,6,0.52,2569,7,360,39,1.67,TrafficSpike
50,3,44,63,4,0.19,0.14,52,4,0.13,1187,0,49,4,1.45,Normal
51,3,46,58,3,0.19,0.12,46,3,0.15,1300,0,42,4,1.45,Normal
68,9,46,85,22,1.41,0.82,54,5,0.41,2454,7,291,39,1.81,TrafficSpike
61,6,50,75,10,0.66,0.45,72,8,1.21,1441,1,101,19,0.52,MemoryLeak
54,3,46,59,4,0.15,0.18,45,4,0.06,1154,0,51,5,1.39,Normal
51,4,45,62,3,0.25,0.14,50,2,0.12,1233,0,55,6,1.44,Normal
50,4,45,57,5,0.19,0.16,49,4,0.2,1213,0,57,7,1.36,Normal
71,9,52,90,18,1.21,1.0,59,4,0.48,2567,7,300,39,1.56,TrafficSpike
85,18,54,95,33,3.17,1.7,65,5,0.24,1608,4,136,38,0.55,BadDeploy
64,7,51,85,14,0.98,0.5,76,7,1.09,1516,1,88,22,0.6,MemoryLeak
60,6,48,75,10,0.8,0.31,70,7,1.36,1483,1,94,19,0.65,MemoryLeak
75,9,49,92,20,1.4,0.96,60,6,0.51,2691,5,345,39,1.65,TrafficSpike
64,7,51,75,10,0.67,0.43,80,7,1.53,1442,2,98,20,0.56,MemoryLeak
97,13,59,100,36,2.82,1.91,63,6,0.46,1629,2,130,38,0.5,BadDeploy
93,15,57,95,28,2.71,1.52,61,5,0.44,1649,2,145,40,0.48,BadDeploy
73,10,51,90,17,1.46,0.87,59,5,0.52,2652,5,329,39,1.64,TrafficSpike
54,4,44,63,5,0.27,0.19,49,2,0.15,1250,0,50,7,1.41,Normal
85,16,53,100,38,2.25,1.85,61,4,0.38,1593,3,117,45,0.53,BadDeploy
54,3,45,60,2,0.19,0.16,48,4,0.16,1123,0,58,6,1.35,Normal
74,9,50,86,22,1.53,0.95,56,5,0.53,2460,5,343,44,1.6,TrafficSpike
70,9,47,92,18,1.46,1.05,57,5,0.59,2572,7,345,47,1.79,TrafficSpike
54,3,45,63,3,0.17,0.17,49,3,0.11,1116,0,53,6,1.46,Normal
52,5,46,59,5,0.17,0.11,45,2,0.17,1179,0,55,7,1.38,Normal
51,3,45,58,2,0.18,0.18,47,4,0.18,1284,0,40,4,1.47,Normal
52,5,45,57,5,0.37,0.17,46,3,0.19,1285,0,47,4,1.41,Normal
69,11,49,92,17,1.3,0.84,60,5,0.47,2599,7,339,41,1.87,TrafficSpike
60,6,49,78,12,0.78,0.35,77,6,1.29,1495,1,95,24,0.59,MemoryLeak
62,6,50,82,15,0.75,0.36,78,8,1.02,1413,1,93,24,0.56,MemoryLeak
85,17,55,98,34,2.01,2.26,60,5,0.23,1693,2,124,36,0.57,BadDeploy
53,5,45,68,5,0.34,0.13,46,3,0.12,1205,0,53,4,1.46,Normal
59,7,51,84,15,0.93,0.45,75,8,1.02,1413,1,105,25,0.66,MemoryLeak
50,4,44,66,4,0.19,0.11,47,2,0.13,1296,0,59,7,1.46,Normal
96,16,54,97,30,2.82,2.14,60,4,0.23,1594,2,130,42,0.59,BadDeploy
58,6,52,85,14,0.85,0.48,75,6,1.16,1443,1,97,24,0.62,MemoryLeak
50,4,44,65,2,0.1,0.15,52,4,0.12,1157,0,46,6,1.36,Normal
74,9,51,88,21,1.29,1.05,59,6,0.44,2392,6,308,38,1.62,TrafficSpike
61,8,51,78,12,0.83,0.43,69,6,1.28,1482,2,91,24,0.64,MemoryLeak
59,6,52,75,10,0.73,0.35,73,8,1.56,1411,1,93,24,0.56,MemoryLeak
93,14,60,95,37,2.22,1.55,63,5,0.46,1533,2,125,52,0.51,BadDeploy
52,3,45,56,3,0.25,0.2,49,4,0.1,1210,0,48,6,1.4,Normal
70,10,52,87,21,1.54,1.0,60,5,0.41,2376,5,319,40,1.51,TrafficSpike
60,8,51,81,10,1.0,0.49,68,7,1.21,1543,2,99,25,0.52,MemoryLeak
50,4,44,59,4,0.15,0.12,49,4,0.18,1249,0,58,4,1.41,Normal
53,3,44,68,5,0.3,0.19,45,3,0.15,1274,0,52,6,1.42,Normal
52,3,44,57,5,0.35,0.17,52,4,0.19,1252,0,50,4,1.43,Normal
73,11,47,88,17,1.52,0.88,60,4,0.55,2580,7,338,39,1.66,TrafficSpike
51,4,44,56,3,0.15,0.18,49,4,0.16,1267,0,43,6,1.4,Normal
72,11,47,90,22,1.24,0.91,55,5,0.49,2498,6,324,47,1.74,TrafficSpike
53,4,46,58,5,0.29,0.11,50,3,0.15,1265,0,55,4,1.36,Normal
69,10,49,87,18,1.47,0.89,55,6,0.49,2591,5,360,39,1.87,TrafficSpike
54,4,45,57,5,0.3,0.16,49,3,0.09,1120,0,43,7,1.34,Normal
53,3,44,62,4,0.19,0.17,52,4,0.17,1187,0,46,5,1.32,Normal
59,7,52,75,10,0.76,0.3,78,7,1.28,1503,2,94,23,0.64,MemoryLeak
91,13,54,96,28,2.23,2.13,59,4,0.26,1666,2,120,43,0.57,BadDeploy
50,4,45,58,5,0.23,0.11,47,4,0.16,1224,0,40,7,1.42,Normal
62,8,51,75,12,0.6,0.43,79,7,1.59,1526,2,86,25,0.58,MemoryLeak
71,11,45,85,20,1.43,0.97,56,6,0.48,2542,5,353,47,1.88,TrafficSpike
96,18,58,95,30,2.35,1.57,61,5,0.27,1556,4,126,49,0.57,BadDeploy
70,10,51,91,22,1.46,0.91,57,4,0.52,2444,7,301,48,1.69,TrafficSpike
51,3,46,63,2,0.34,0.19,52,3,0.09,1242,0,40,6,1.48,Normal
87,14,60,95,40,2.08,1.79,65,4,0.24,1557,3,121,40,0.56,BadDeploy
54,4,44,67,6,0.28,0.11,45,3,0.17,1293,0,43,4,1.46,Normal
54,3,44,66,2,0.36,0.19,47,4,0.09,1213,0,43,5,1.43,Normal
86,13,55,98,34,2.92,1.41,63,5,0.29,1543,2,122,41,0.54,BadDeploy
93,18,55,96,40,2.9,1.78,59,4,0.44,1605,3,134,46,0.56,BadDeploy
82,16,54,95,39,2.97,2.25,57,5,0.29,1697,2,132,31,0.48,BadDeploy
55,5,44,65,2,0.39,0.2,49,3,0.11,1274,0,50,6,1.3,Normal
60,8,51,82,15,0.68,0.41,80,8,1.39,1488,2,91,22,0.52,MemoryLeak
94,18,54,99,36,2.34,1.48,64,5,0.36,1693,4,115,30,0.41,BadDeploy
61,7,51,83,10,0.89,0.47,72,8,1.3,1431,1,105,19,0.59,MemoryLeak
53,4,44,68,6,0.27,0.19,48,3,0.09,1270,0,52,5,1.32,Normal
52,4,44,58,5,0.35,0.11,45,3,0.18,1221,0,54,4,1.37,Normal
98,16,56,99,35,2.76,2.3,63,6,0.49,1541,2,137,34,0.5,BadDeploy
70,11,46,88,20,1.39,1.02,58,5,0.58,2360,7,342,39,1.55,TrafficSpike
58,8,49,76,12,0.72,0.37,72,7,1.02,1436,1,103,24,0.51,MemoryLeak
62,6,49,82,10,0.65,0.37,68,7,1.29,1479,2,95,24,0.6,MemoryLeak
51,5,46,63,5,0.3,0.11,50,2,0.17,1270,0,52,5,1.48,Normal
83,18,59,100,32,2.78,2.18,56,6,0.39,1697,4,124,47,0.53,BadDeploy
51,5,46,65,2,0.39,0.15,52,4,0.18,1130,0,40,6,1.46,Normal
65,6,52,84,12,0.76,0.31,68,7,1.26,1506,1,101,23,0.58,MemoryLeak
50,3,46,58,4,0.14,0.13,46,2,0.1,1204,0,41,6,1.34,Normal
52,4,44,61,3,0.22,0.13,51,2,0.06,1161,0,55,7,1.49,Normal
58,7,51,83,13,0.63,0.31,78,6,1.55,1404,2,102,19,0.55,MemoryLeak
52,5,45,63,2,0.35,0.15,47,3,0.13,1143,0,57,7,1.49,Normal
68,9,52,89,22,1.59,0.8,57,5,0.52,2648,6,334,48,1.59,TrafficSpike
72,9,47,86,19,1.24,1.01,60,4,0.55,2443,6,316,47,1.7,TrafficSpike
92,18,56,100,35,2.33,2.0,61,5,0.26,1653,3,106,52,0.43,BadDeploy
54,4,44,56,3,0.22,0.19,52,3,0.13,1266,0,57,4,1.48,Normal
69,10,51,90,20,1.27,1.03,59,4,0.42,2489,5,346,38,1.59,TrafficSpike
52,5,46,61,3,0.13,0.16,49,4,0.08,1226,0,41,6,1.4,Normal
58,6,51,76,12,0.83,0.4,76,6,1.4,1544,1,87,20,0.65,MemoryLeak
52,5,44,64,4,0.16,0.17,49,4,0.13,1216,0,53,4,1.47,Normal
95,16,56,95,38,2.62,1.85,64,4,0.47,1557,2,122,43,0.51,BadDeploy
58,7,49,80,10,0.95,0.46,79,6,1.59,1508,1,92,21,0.53,MemoryLeak
59,8,48,75,13,0.77,0.3,80,8,1.56,1464,1,88,25,0.55,MemoryLeak
83,15,60,96,29,2.93,1.96,57,6,0.33,1531,2,108,31,0.48,BadDeploy
51,3,45,56,4,0.28,0.14,46,4,0.06,1113,0,52,7,1.32,Normal
89,17,52,98,34,2.56,1.79,65,6,0.23,1666,4,106,44,0.5,BadDeploy
50,3,44,65,2,0.28,0.18,47,4,0.13,1190,0,55,7,1.34,Normal
50,3,44,60,6,0.23,0.2,50,3,0.14,1238,0,44,7,1.36,Normal
91,15,52,99,37,2.79,1.53,59,6,0.45,1643,2,132,41,0.44,BadDeploy
61,6,50,78,15,0.79,0.44,75,8,1.42,1548,2,104,22,0.58,MemoryLeak
50,4,44,63,3,0.38,0.16,48,3,0.14,1161,0,50,7,1.34,Normal
50,4,44,57,4,0.11,0.11,49,3,0.08,1249,0,41,4,1.34,Normal
60,6,50,77,12,0.94,0.35,71,6,1.11,1467,1,85,20,0.58,MemoryLeak
52,3,45,63,3,0.21,0.14,47,4,0.2,1259,0,42,4,1.33,Normal
51,3,46,62,4,0.2,0.14,48,2,0.16,1250,0,57,6,1.46,Normal
89,13,56,96,36,3.16,2.2,59,6,0.22,1620,4,144,32,0.43,BadDeploy
98,15,59,99,35,2.21,2.04,64,6,0.34,1626,3,122,48,0.48,BadDeploy
51,3,44,63,3,0.22,0.13,51,4,0.07,1195,0,57,4,1.33,Normal
52,4,46,61,3,0.28,0.15,50,3,0.12,1210,0,51,7,1.36,Normal
82,14,59,96,32,2.77,1.72,57,5,0.45,1631,4,110,38,0.59,BadDeploy
50,3,45,56,6,0.16,0.12,50,3,0.1,1296,0,46,5,1.5,Normal
58,7,50,80,13,0.98,0.46,80,8,1.01,1531,1,97,21,0.55,MemoryLeak
65,6,52,84,14,0.9,0.44,75,7,1.48,1480,1,98,24,0.54,MemoryLeak
68,10,47,87,19,1.58,0.8,60,6,0.57,2473,5,343,44,1.77,TrafficSpike
91,15,52,99,40,2.04,1.53,61,6,0.39,1654,4,141,42,0.6,BadDeploy
64,6,52,81,11,0.79,0.37,75,8,1.54,1423,1,88,20,0.51,MemoryLeak
68,9,48,86,20,1.31,0.87,59,6,0.41,2329,6,356,38,1.57,TrafficSpike
94,14,53,96,36,2.5,2.07,62,4,0.24,1552,3,132,52,0.53,BadDeploy
54,5,45,65,3,0.25,0.17,49,2,0.05,1136,0,42,7,1.42,Normal
63,8,51,82,13,0.83,0.45,72,8,1.53,1516,2,94,24,0.62,MemoryLeak
53,3,44,65,5,0.24,0.19,47,4,0.14,1200,0,47,5,1.35,Normal
59,8,49,82,13,1.0,0.41,73,6,1.45,1529,2,98,25,0.53,MemoryLeak
58,7,48,76,15,0.88,0.45,74,7,1.45,1449,2,86,18,0.55,MemoryLeak
52,5,46,63,5,0.24,0.11,48,4,0.19,1135,0,48,5,1.33,Normal
54,3,44,60,2,0.26,0.14,46,4,0.16,1273,0,44,7,1.37,Normal
58,8,52,78,13,0.88,0.47,80,8,1.38,1426,2,94,25,0.51,MemoryLeak
50,4,44,59,4,0.37,0.12,45,3,0.05,1103,0,46,4,1.34,Normal
55,3,46,58,2,0.22,0.11,50,3,0.13,1148,0,57,7,1.49,Normal
51,3,44,61,4,0.15,0.14,50,2,0.11,1217,0,42,6,1.43,Normal
83,13,55,98,32,2.92,1.85,57,6,0.36,1645,2,121,33,0.52,BadDeploy
86,15,54,100,40,3.06,1.69,63,4,0.3,1655,4,133,42,0.5,BadDeploy
58,6,48,84,10,0.72,0.45,80,6,1.37,1415,1,96,25,0.56,MemoryLeak
53,3,46,56,3,0.38,0.16,52,4,0.18,1134,0,50,4,1.4,Normal
91,13,55,100,33,2.41,1.59,56,6,0.5,1675,4,119,49,0.57,BadDeploy
87,16,52,95,35,2.08,1.57,58,4,0.24,1544,4,140,36,0.45,BadDeploy
53,5,45,60,3,0.32,0.12,47,4,0.09,1173,0,60,5,1.35,Normal
69,10,51,91,18,1.39,0.93,58,6,0.49,2379,6,292,44,1.67,TrafficSpike
52,5,46,58,6,0.32,0.13,52,3,0.12,1196,0,42,6,1.33,Normal
71,9,48,85,17,1.54,1.02,56,5,0.48,2512,6,337,44,1.7,TrafficSpike
53,3,44,62,6,0.15,0.18,49,4,0.1,1281,0,60,6,1.44,Normal
95,18,55,96,35,2.04,2.13,56,6,0.4,1537,3,143,44,0.59,BadDeploy
52,3,46,65,3,0.1,0.18,51,3,0.16,1120,0,53,5,1.47,Normal
62,8,52,85,13,0.83,0.45,80,8,1.52,1427,2,89,22,0.65,MemoryLeak
91,13,54,98,28,2.12,2.1,62,6,0.33,1573,4,132,35,0.44,BadDeploy
55,3,44,63,3,0.25,0.11,48,2,0.08,1291,0,46,6,1.5,Normal
96,18,53,100,30,2.1,1.48,57,5,0.22,1507,4,120,45,0.5,BadDeploy
50,3,45,68,2,0.3,0.18,45,2,0.08,1101,0,59,6,1.49,Normal
73,11,51,90,19,1.47,0.9,56,4,0.59,2640,6,338,47,1.52,TrafficSpike
92,13,52,98,39,2.48,2.15,58,4,0.38,1635,3,120,41,0.49,BadDeploy
74,11,48,85,22,1.58,1.04,54,6,0.47,2323,7,331,48,1.68,TrafficSpike
74,11,46,90,20,1.58,1.08,57,6,0.57,2351,7,339,42,1.74,TrafficSpike
54,5,46,64,2,0.14,0.18,49,4,0.2,1219,0,54,4,1.4,Normal
61,6,49,85,15,0.64,0.39,79,6,1.1,1483,2,93,21,0.64,MemoryLeak
69,11,47,92,17,1.52,0.9,55,6,0.55,2607,5,333,44,1.86,TrafficSpike
95,14,55,97,29,2.35,1.5,61,6,0.38,1548,4,112,48,0.47,BadDeploy
64,8,48,79,10,0.84,0.34,74,7,1.19,1493,1,101,21,0.52,MemoryLeak
54,4,45,58,4,0.35,0.15,52,2,0.14,1137,0,59,6,1.36,Normal
52,5,46,63,3,0.25,0.17,51,2,0.2,1185,0,46,5,1.44,Normal
51,4,46,62,4,0.4,0.17,47,2,0.13,1186,0,55,6,1.45,Normal
84,17,56,97,39,3.11,2.03,64,5,0.23,1582,4,108,52,0.46,BadDeploy
54,3,45,67,5,0.19,0.11,48,4,0.08,1266,0,51,4,1.44,Normal
